n	bubble-class	bubble-adv	quick-inicial	quick-central	insertion   shell    	  selection  	merge	   heap
10	45		45		9		11		45	    11	     	  5	    	34         23
100	4950		4950		99		112		4950	    192	     	  50	    	672	   516
1000	499500		499500		999		1010		499500	    3938     	  500    	9976	   8380
10000 	49995000	49995000	9999		10904		49995000    211596   	  5000    	133616	   116722
100000	704982704	704982704	99999		115534		704982704   19758228 	  50000    	1668928	   1497466
500000	445698416	445698416	500000		512142		445698416   499071604     250000    	9475712	   8668486
1000000	1783293664	1783293664	999999		1024286		1783293664  1962492188	  500000    	19951424   18333446

